time,x,y
0.000,311,146
0.042,311,146
0.083,309,147
0.125,304,144
0.167,239,156
0.209,237,156
0.250,236,157
0.292,235,158
0.334,233,159
0.375,232,158
0.417,231,157
0.459,230,157
0.501,230,156
0.542,222,157
0.584,229,94
0.626,228,94
0.667,232,95
0.709,227,155
0.751,229,154
0.792,231,96
0.834,235,96
0.876,235,95
0.918,236,95
0.959,236,94
1.001,241,95
1.043,241,93
1.084,322,89
1.126,241,94
1.168,244,93
1.210,323,88
1.251,323,89
1.293,321,89
1.335,323,89
1.376,323,89
1.418,324,89
1.460,324,89
1.501,325,89
1.543,326,88
1.585,325,88
1.627,324,88
1.668,324,88
1.710,322,89
1.752,324,88
1.793,324,88
1.835,326,87
1.877,325,87
1.919,327,87
1.960,325,87
2.002,327,88
2.044,322,88
2.085,325,88
2.127,323,89
2.169,325,88
2.211,324,87
2.252,323,87
2.294,323,87
2.336,324,88
2.377,324,88
2.419,324,88
2.461,325,87
2.503,307,143
2.544,306,143
2.586,305,143
2.628,328,87
2.669,328,87
2.711,328,87
2.753,327,87
2.794,326,88
2.836,306,143
2.878,307,142
2.920,307,142
2.961,329,87
3.003,329,87
3.045,306,142
3.086,306,142
3.128,305,143
3.170,331,88
3.212,331,86
3.253,330,87
3.295,329,88
3.337,331,87
3.378,331,87
3.420,306,143
3.462,330,86
3.504,330,87
3.545,331,86
3.587,306,143
3.629,330,87
3.670,330,87
3.712,331,87
3.754,330,88
3.795,331,88
3.837,333,87
3.879,332,87
3.921,332,87
3.962,332,87
4.004,331,88
4.046,332,87
4.087,306,144
4.129,332,88
4.171,333,88
4.213,332,87
4.254,333,87
4.296,332,87
4.338,333,86
4.379,332,85
4.421,331,85
4.463,332,87
4.504,332,87
4.546,333,87
4.588,331,88
4.630,306,143
4.671,334,87
4.713,332,87
4.755,333,87
4.796,332,87
4.838,332,88
4.880,331,87
4.922,333,87
4.963,334,87
5.005,333,88
5.047,332,88
5.088,306,145
5.130,305,145
5.172,306,146
5.214,332,87
